ticker,shortName,sector,industry,recommendationMean,overallRisk,beta,trailingEps,forwardEps,trailingPE,forwardPE,pegRatio,bookValue,priceToBook,ebitdaMargins,profitMargins,earningsGrowth,revenueGrowth,dividendYield,payoutRatio,fiveYearAvgDividendYield,debtToEquity,returnOnAssets,returnOnEquity,quickRatio,currentRatio
AAL,"American Airlines Group, Inc.",Industrials,Airlines,2.9,7,1.555594,2.56,3.4,6.320313,4.7588234,0.04,-6.712,,0.14128,0.0498,1.769,0.047,,0.0,,,0.04808,,0.581,0.749
AAM,,,,,,,,,,,,,,,,,,,,,,,,,
AAMC,Altisource Asset Management Cor,Financial Services,Mortgage Finance,,,1.497055,-7.42,,,,,-53.583,,-1.52043,-2.14557,,,,0.0,,88.95,-0.07697,-0.25547,0.225,0.521
AAME,Atlantic American Corporation,Financial Services,Insurance—Life,,4,0.275372,-0.15,,,,,5.113,0.35595542,-0.00182,-0.015140001,,-0.103,,,,38.477,-0.00201,-0.02394,0.661,1.316
AAN,"Aarons Holdings Company, Inc.",Industrials,Rental & Leasing Services,2.9,2,1.113261,-0.44,1.44,,9.576388,-0.08,23.021,0.5990183,0.10147,-0.00095,,-0.131,0.0368,,,96.969,0.04651,-0.00301,0.297,3.243
AAOI,"Applied Optoelectronics, Inc.",Technology,Communication Equipment,2.3,8,1.865604,-2.52,0.4,,30.474998,-1.83,5.136,2.3734422,-0.1891,-0.32461,,-0.204,,0.0,,80.905,-0.09789,-0.36106,0.342,0.771
AAON,"AAON, Inc.",Industrials,Building Products & Equipment,2.2,3,0.812954,2.2,3.36,43.813637,28.6875,2.65,12.139,7.940522,0.21360001,0.14217,1.733,0.36,0.0049,0.17709999,0.63,13.044,0.13448,0.25876,1.184,2.76
AAP,Advance Auto Parts Inc.,Consumer Cyclical,Specialty Retail,3.0,2,1.101143,6.73,6.78,10.484398,10.407079,4.27,44.643,1.5805389,0.083170004,0.036140002,-0.682,0.013,0.014199999,0.6686,1.52,175.873,0.03311,0.14596,0.202,1.244
AAPL,Apple Inc.,Technology,Consumer Electronics,2.0,1,1.286802,5.89,6.58,30.526318,27.32523,4.67,3.852,46.67705,0.32286,0.24681,0.05,-0.014,0.0053,0.156,0.87,181.305,0.20896,1.60093,0.814,0.982
AAT,"American Assets Trust, Inc.",Real Estate,REIT—Diversified,3.2,6,1.127467,0.84,0.75,26.809525,30.026667,9.92,20.004,1.1257749,0.55245,0.11744001,0.13,0.053,0.0587,1.5475999,3.6,145.631,0.02477,0.054569997,2.985,3.146
AAU,"Almaden Minerals, Ltd.",Basic Materials,Gold,3.0,,1.008118,-0.06,-0.04,,-3.625,,0.505,0.28712872,0.0,0.0,,,,0.0,,6.49,-0.03561,-0.15135,20.049,23.769
AB,AllianceBernstein Holding L.P.,Financial Services,Asset Management,2.6,,1.301004,2.41,3.11,12.589211,9.755628,1.08,17.999,1.6856492,0.0,0.0,-0.232,,0.086,1.1991,8.65,,,0.14155,,
ABBV,AbbVie Inc.,Healthcare,Drug Manufacturers—General,2.4,9,0.54728,4.25,11.07,35.204704,13.515808,-3.27,7.525,19.883055,0.50641996,0.15502,1.235,-0.049,0.0396,1.1893001,4.48,469.526,,,,
ABC,AmerisourceBergen Corporation,Healthcare,Medical Distribution,2.1,3,0.562175,7.79,12.86,23.79589,14.414463,1.83,3.394,54.61697,0.01344,0.00664,0.224,0.115,0.0105,0.2333,1.55,688.875,0.027,2.3366401,0.475,0.876
ABCB,Ameris Bancorp,Financial Services,Banks—Regional,2.3,3,1.156563,4.69,4.55,9.509595,9.802197,1.38,47.66,0.9357952,0.0,0.32102,-0.302,-0.072,0.0135,0.13949999,1.4,,0.01204,0.09369001,,
ABCL,AbCellera Biologics Inc.,Healthcare,Biotechnology,1.8,8,-0.070592,-0.18,-0.61,,-9.655737,-1.1,4.132,1.4254599,-0.59398997,-0.50909,,-0.781,,0.0,,7.033,-0.043080002,-0.061389998,7.076,7.828
ABCM,Abcam plc,Healthcare,Biotechnology,2.0,,0.923542,-0.05,,,,,3.174,7.0825453,0.23804002,-0.0235,,0.068,,0.0,,30.802,0.032679997,-0.01229,0.889,1.266
ABEO,Abeona Therapeutics Inc.,Healthcare,Biotechnology,1.7,,1.34638,-2.21,-2.2,,-1.3545455,,1.045,2.8516748,0.0,0.0,,,,0.0,,39.055,-0.49383998,-1.06646,5.51,5.774
ABEV,Ambev S.A.,Consumer Defensive,Beverages—Brewers,2.2,5,,0.19,0.19,15.473684,15.473684,2.43,5.404,0.54404145,0.27811,0.17262,-0.156,0.051,0.0484,0.8492,3.3,4.743,0.082720004,0.16919,0.607,1.006
ABG,Asbury Automotive Group Inc,Consumer Cyclical,Auto & Truck Dealerships,2.4,3,1.130931,39.93,30.58,5.499374,7.180837,-6.06,149.143,1.4723452,0.08367,0.06282,0.03,-0.053,,0.0,,117.663,0.09337,0.34162998,0.437,1.909
ABIO,"ARCA biopharma, Inc.",Healthcare,Biotechnology,,,1.255628,-0.44,-8.8,,-0.22954544,,2.723,0.74182886,0.0,0.0,,,,0.0,,0.838,-0.09748,-0.15043001,25.066,25.44
ABL,"Abacus Life, Inc.",Financial Services,Insurance—Life,,,-0.107361,-0.0,,,,,3.07,1.8892509,0.77533996,0.72612,,0.04,,0.0,,105.802,,1.81168,1.411,1.43
ABLLW,,,,,,,,,,,,,,,,,,,,,,,,,
ABM,ABM Industries Incorporated,Industrials,Specialty Business Services,2.1,2,1.057499,2.92,3.87,15.712329,11.855298,3.57,26.955,1.7020961,0.056750003,0.02466,0.083,0.045,0.019199999,0.2842,1.89,85.029,0.043670002,0.11354,1.369,1.526
ABNB,"Airbnb, Inc.",Consumer Cyclical,Travel Services,2.6,9,1.262202,3.02,4.13,46.20861,33.789345,1.71,8.017,17.406761,0.21753,0.25308,0.762,0.181,,0.0,,45.938,0.06083,0.44643003,0.775,1.472
ABOS,"Acumen Pharmaceuticals, Inc.",Healthcare,Biotechnology,1.6,,-1.232101,-1.04,-1.58,,-4.4303794,-0.6,4.365,1.6036656,0.0,0.0,,,,0.0,,0.037,-0.15065,-0.22792,16.022,16.406
ABR,Arbor Realty Trust,Real Estate,REIT—Mortgage,2.7,8,1.939037,1.73,1.86,9.543353,8.876344,1.0,13.055,1.2646495,0.0,0.50118,-0.006,0.172,0.1027,0.936,9.55,401.75,0.02261,0.12560001,4.181,4.441
ABSI,Absci Corporation,Healthcare,Biotechnology,2.5,9,1.204462,-0.96,-0.81,,-2.2592592,-0.22,2.746,0.6664239,0.0,0.0,,0.549,,0.0,,8.363,-0.18386999,-0.33228,5.352,6.078
ABT,Abbott Laboratories,Healthcare,Medical Devices,2.0,8,0.661932,3.29,4.62,32.091187,22.852816,-11.65,21.422,4.928578,0.24641001,0.1283,-0.316,-0.114,0.019299999,0.6689,1.54,45.418,0.05662,0.13926,0.998,1.638
ABUS,Arbutus Biopharma Corporation,Healthcare,Biotechnology,2.0,6,2.101489,-0.44,-0.49,,-4.142857,,0.807,2.5154896,0.0,0.0,,-0.673,,0.0,,1.517,-0.23783001,-0.50676,6.323,6.474
ABVC,"ABVC Biopharma, Inc.",Healthcare,Biotechnology,3.0,,0.264288,-3.7,-0.44,,-5.4545455,,0.509,4.715128,0.0,0.0,,3.999,,0.0,,340.448,-0.59216,-2.66537,0.488,0.686
AC,"Associated Capital Group, Inc.",Financial Services,Asset Management,,10,1.06027,-0.68,2.59,,14.15058,,41.298,0.8874522,-0.84362,-0.99047,,-0.045,0.0054,,0.53,,-0.00735,-0.013739999,20.272,20.382
ACA,"Arcosa, Inc.",Industrials,Engineering & Construction,2.2,1,0.582677,5.78,3.23,13.1955,23.613003,6.49,46.666,1.6343805,0.14498,0.12652999,0.062,-0.03,0.0026,0.0344,,25.697,0.030989999,0.13254,1.389,2.317
ACABW,Atlantic Coastal Acquisition Co,,,,,,,,,,,,,,,,,,,,,,,,
ACAC,Acri Capital Acquisition Corpor,Financial Services,Shell Companies,,,,0.1,,108.0,,,-0.499,,0.0,0.0,,,,0.0,,,,,0.414,0.515
ACAD,ACADIA Pharmaceuticals Inc.,Healthcare,Biotechnology,2.4,9,0.542777,-0.9,0.55,,48.581818,0.17,2.423,11.027651,-0.22561,-0.20115,,0.228,,0.0,,14.865,-0.12691,-0.26681998,2.445,2.621
ACAH,Atlantic Coastal Acquisition Co,Financial Services,Shell Companies,,,0.023014,0.26,,39.96154,,,-1.744,,0.0,0.0,-0.734,,,0.0,,,-0.00883,,0.145,0.164
ACAHU,Atlantic Coastal Acquisition Co,Financial Services,Shell Companies,,,0.023014,-0.005,,,,,-1.744,,0.0,0.0,-0.734,,,,,,-0.00883,,0.145,0.164
ACAHW,Atlantic Coastal Acquisition Corp. Warrant,,,,,,,,,,,,,,,,,,,,,,,,
ACAQ,Athena Consumer Acquisition Cor,Financial Services,Shell Companies,,,,0.02,,550.0,,,-1.165,,0.0,0.0,,,,0.0,,,,,0.002,0.048
ACB,Aurora Cannabis Inc.,Healthcare,Drug Manufacturers—Specialty & Generic,2.9,4,2.976599,-5.92,-0.06,,-9.228333,,1.408,0.39325282,-0.63843,0.0,,0.27,,0.0,,43.996,-0.09165,-1.0267,1.14,1.981
ACBA,Ace Global Business Acquisition,Financial Services,Shell Companies,,,0.037169,0.14,,80.32143,,,-1.417,,0.0,0.0,,,,0.0,,,,,0.021,0.037
ACBAU,Ace Global Business Acquisition,Financial Services,Shell Companies,,,0.037169,-0.208,,,,,-1.417,,0.0,0.0,,,,,,,,,0.021,0.037
ACBAW,Ace Global Business Acquisition Limited Warrant,,,,,,,,,,,,,,,,,,,,,,,,
ACCD,"Accolade, Inc.",Healthcare,Health Information Services,2.0,6,1.723193,-2.07,-1.41,,-10.404256,9.82,6.034,2.4312232,-0.27648002,-0.41861,,0.09,,0.0,,69.444,-0.10145,-0.31403,2.92,3.091
ACCO,Acco Brands Corporation,Industrials,Business Equipment & Supplies,2.0,1,1.859023,-0.15,1.34,,4.5149255,0.54,8.533,0.7090121,0.107930005,-0.0074400003,,-0.088,0.0493,,3.67,146.493,0.030030001,-0.01679,0.854,1.774
ACDC,ProFrac Holding Corp.,Energy,Oil & Gas Equipment & Services,2.1,9,,2.08,2.89,5.980769,4.304498,-1.82,2.196,5.6648445,0.30283,0.05712,,1.469,,0.0,,93.549,0.14003,0.44945,0.714,1.063
ACDCW,ProFrac Holding Corp. Warrant,,,,,,,,,,,,,,,,,,,,,,,,
ACEL,"Accel Entertainment, Inc.",Consumer Cyclical,Gambling,2.0,7,1.566329,0.75,0.83,15.226666,13.759036,2.99,2.205,5.1791387,0.14288999,0.048649997,-0.542,0.284,,0.0,,274.542,0.0795,0.30343,2.735,3.029
ACER,Acer Therapeutics Inc.,Healthcare,Biotechnology,2.0,,0.61621,-1.78,0.12,,6.334167,,-1.115,,0.0,0.0,,,,0.0,,,-0.5981,,0.168,0.2
ACET,"Adicet Bio, Inc.",Healthcare,Biotechnology,2.0,8,1.519938,-2.09,-2.71,,-0.8118081,-0.03,6.197,0.3550105,0.0,0.0,,,,0.0,,8.826,-0.21416001,-0.36476,12.833,12.976
ACGL,Arch Capital Group Ltd.,Financial Services,Insurance—Diversified,1.9,5,0.717353,5.2,7.34,14.682693,10.401907,0.59,37.253,2.0494995,0.2192,0.19195999,0.683,0.428,,0.0,,18.616,0.03119,0.16745001,0.864,1.747
ACGLN,Arch Capital Group Ltd. - Depos,Financial Services,Insurance—Diversified,,5,0.717353,4.691,,4.0311236,,,37.253,0.50761014,0.2192,0.19195999,0.683,0.428,0.060100004,,,18.616,0.03119,0.16745001,0.864,1.747
ACGLO,Arch Capital Group Ltd. - Depos,Financial Services,Insurance—Diversified,,5,0.717353,4.691,,4.800682,,,37.253,0.60451514,0.2192,0.19195999,0.683,0.428,0.060399998,,5.62,18.616,0.03119,0.16745001,0.864,1.747
ACGN,"Aceragen, Inc.",Healthcare,Biotechnology,2.0,8,1.137859,-7.42,-2.18,,-0.1972477,,2.701,0.1592003,0.0,0.0,,,,0.0,,2.139,-0.26237,-0.98686,0.242,0.316
ACHC,"Acadia Healthcare Company, Inc.",Healthcare,Medical Care Facilities,2.1,6,1.32629,3.11,3.78,24.546623,20.195766,1.85,32.054,2.3816059,0.21474001,0.097399995,-0.102,0.122,,0.0,,50.955,0.05895,0.096099995,1.205,1.338
ACHL,Achilles Therapeutics plc,Healthcare,Biotechnology,1.6,,,-1.83,-1.16,,-0.862069,-0.15,4.357,0.22951573,0.0,0.0,,,,0.0,,4.963,-0.18741,-0.34967,7.517,9.165
ACHR,Archer Aviation Inc.,Industrials,Aerospace & Defense,2.0,10,2.449778,-1.62,-1.03,,-5.5436897,,1.684,3.3907363,0.0,0.0,,,,0.0,,4.609,-0.3831,-0.69138,7.03,7.28
ACHV,"Achieve Life Sciences, Inc.",Healthcare,Biotechnology,1.7,,1.504329,-3.78,-1.69,,-3.2071006,-0.21,0.025,216.8,0.0,0.0,,,,0.0,,3720.767,-0.85797,-4.00155,0.818,0.898
ACI,"Albertsons Companies, Inc.",Consumer Defensive,Grocery Stores,2.6,6,0.374952,2.15,2.81,10.088372,7.7188616,0.99,3.474,6.2435236,0.051680002,0.01845,-0.144,0.032,0.0221,0.2233,,726.58,0.05381,0.4314,0.12,0.785
ACIU,AC Immune SA,Healthcare,Biotechnology,1.3,,0.675441,-0.93,-0.62,,-5.016129,,1.647,1.8882817,0.0,0.0,,,,0.0,,1.815,-0.22377001,-0.38937,8.427,8.89
ACIW,"ACI Worldwide, Inc.",Technology,Software—Infrastructure,1.8,1,1.091098,0.81,1.38,29.320988,17.210144,2.1,10.797,2.199685,0.15864,0.0542,,-0.05,,0.0,,95.379,0.03145,0.06244,0.617,1.315
ACLS,"Axcelis Technologies, Inc.",Technology,Semiconductor Equipment & Materials,2.2,3,1.709733,5.78,8.03,30.67993,22.083439,1.26,22.659,7.8260293,0.22604999,0.20186001,0.409,0.239,,0.0,,10.395,0.14505,0.31038,2.463,3.824
ACLX,"Arcellx, Inc.",Healthcare,Biotechnology,1.4,10,,-4.55,-3.1,,-11.229033,-0.2,6.348,5.483617,0.0,0.0,,,,0.0,,28.858,-0.28109,-0.71469,3.341,3.441
ACM,AECOM,Industrials,Engineering & Construction,1.6,2,1.296501,3.03,4.38,28.18482,19.497717,1.64,18.701,4.566601,0.0673,0.027479999,0.891,0.086,0.0083,0.2178,,108.154,0.04111,0.17087,0.934,1.091
ACMR,"ACM Research, Inc.",Technology,Semiconductor Equipment & Materials,2.1,9,1.149636,0.8,1.21,17.0,11.23967,0.31,11.552,1.1772853,0.20362,0.14484,1.236,0.385,,0.0,,9.71,0.045840003,0.10345,1.107,2.185
ACN,Accenture plc,Technology,Information Technology Services,2.1,1,1.2248,11.21,12.46,28.11329,25.292936,3.14,40.159,7.8475556,0.1705,0.11273,0.129,0.025,0.014199999,0.3859,1.38,11.88,0.12674,0.30319,1.236,1.368
ACNB,ACNB Corporation,Financial Services,Banks—Regional,2.5,6,0.393834,4.45,3.72,7.755056,9.276881,,30.016,1.1497201,0.0,0.34351003,0.13,0.089,0.0328,0.24069999,3.21,,0.01544,0.15501,,
ACNT,Ascent Industries Co.,Basic Materials,Steel,1.0,,0.692414,0.63,1.73,15.253968,5.554913,-1.44,12.686,0.75752795,0.03874,0.01737,,-0.291,,0.0,,71.376,0.00567,0.05256,1.251,4.197
ACON,"Aclarion, Inc.",Healthcare,Health Information Services,2.0,,,-0.94,-0.29,,-2.0172415,,0.143,4.0909085,0.0,0.0,,1.822,,0.0,,,-2.0336099,,0.632,0.917
ACONW,,,,,,,,,,,,,,,,,,,,,,,,,
ACOR,"Acorda Therapeutics, Inc.",Healthcare,Drug Manufacturers—Specialty & Generic,2.0,7,1.432282,-40.53,-0.96,,-17.1875,,63.243,0.26089844,-0.0212,-0.49216,,-0.012,,0.0,,230.129,-0.05412,-0.56934,1.135,1.96
ACP,Aberdeen Income Credit Strategi,Financial Services,Asset Management,,,1.002078,-0.52,,,,,7.034,0.9809497,0.0,-0.34649,,0.231,0.1749,,13.63,25.841,0.03767,-0.03353,0.243,0.244
ACR,ACRES Commercial Realty Corp.,Real Estate,REIT—Mortgage,2.0,6,1.822653,-0.98,2.13,,4.1455398,1.01,51.413,0.17174645,0.0,0.16455,0.245,0.07,,0.0,,403.87,0.0046200003,0.02394,68.513,71.12
ACRE,Ares Commercial Real Estate Cor,Real Estate,REIT—Mortgage,2.3,7,1.429511,0.11,1.1,96.27273,9.627273,9.84,12.77,0.82928735,0.0,-0.17448999,,-0.72,0.1284,,10.46,241.641,-0.002,-0.0068800002,91.212,91.212
ACRO,Acropolis Infrastructure Acquis,Financial Services,Shell Companies,,,,0.11,,92.27273,,,-0.372,,0.0,0.0,,,,0.0,,,-0.00382,,0.023,0.064
ACRS,"Aclaris Therapeutics, Inc.",Healthcare,Diagnostics & Research,1.4,8,0.604433,-1.33,-1.83,,-4.7582417,-0.07,2.631,3.291524,0.0,0.0,,0.74,,0.0,,1.455,-0.26238,-0.53936,9.393,10.098
ACRV,"Acrivon Therapeutics, Inc.",Healthcare,Biotechnology,1.6,10,,-1.64,-3.56,,-3.3314607,,7.32,1.6202185,0.0,0.0,,,,0.0,,2.982,,-0.28323,21.157,21.817
ACRX,"AcelRx Pharmaceuticals, Inc.",Healthcare,Drug Manufacturers—Specialty & Generic,3.0,,0.256321,6.36,-2.0,0.14937106,-0.475,,1.304,0.7285276,0.0,24.19593,,,,0.0,,23.655,-0.40805,,1.411,1.834
ACST,"Acasti Pharma, Inc.",Healthcare,Biotechnology,1.0,,1.451333,-5.72,-0.41,,-5.878049,,9.139,0.26370502,0.0,0.0,,,,0.0,,0.714,-0.109560005,-0.48153,8.412,8.587
ACT,"Enact Holdings, Inc.",Financial Services,Insurance—Specialty,2.5,4,,4.38,3.63,6.72831,8.118457,39.7,27.309,1.0791314,0.0,0.61132,-0.168,0.015,0.0227,0.13939999,,17.005,0.09851,0.16054001,1.122,1.179
ACTG,Acacia Research Corporation,Industrials,Business Equipment & Supplies,,1,0.40665,-1.57,0.58,,6.689656,,5.521,0.70277125,-0.66222,0.00719,,-0.527,,0.0,,16.873,-0.05446,0.0014200001,5.797,6.244
ACU,Acme,Consumer Defensive,Household & Personal Products,1.0,,0.889158,1.1,2.51,30.190908,13.231075,1.24,23.531,1.4113297,0.069070004,0.0202,0.352,-0.061,0.0177,0.5091,1.98,63.865,0.03078,0.0477,1.705,4.083
ACV,568516,Financial Services,Asset Management,3.0,,,-3.67,,,,,,,0.0,0.0,,,0.1079,,13.53,,,,,
ACVA,ACV Auctions Inc.,Consumer Cyclical,Auto & Truck Dealerships,1.8,9,1.350523,-0.56,-0.19,,-87.63158,-41.62,3.022,5.509596,-0.20738001,-0.20749001,,0.161,,0.0,,20.544,-0.061739996,-0.17919001,1.982,2.011
ACXP,"Acurx Pharmaceuticals, Inc.",Healthcare,Biotechnology,2.0,,-1.012426,-1.0,-1.09,,-1.678899,,0.455,4.021978,0.0,0.0,,,,0.0,,,-0.82356,-1.54063,3.461,3.561
ADAG,Adagene Inc.,Healthcare,Biotechnology,1.8,,0.201751,-1.8,-1.7,,-0.7908235,,1.933,0.69549924,0.0,0.0,,-0.391,,0.0,,33.664,-0.30681,-0.66740996,2.621,2.711
ADAP,Adaptimmune Therapeutics plc,Healthcare,Biotechnology,2.4,,2.214755,-0.67,-0.54,,-1.5925926,-2.15,0.506,1.6996049,-1.43315,-1.6038901,,12.315,,0.0,,27.222,-0.19128999,-0.92425,3.206,3.359
ADBE,Adobe Inc.,Technology,Software—Infrastructure,2.1,2,1.338067,10.51,17.8,49.533775,29.24719,2.35,32.539,15.999261,0.37028998,0.26339,0.133,0.098,,0.0,,27.719,0.14306,0.33681,1.033,1.157
ADC,Agree Realty Corporation,Real Estate,REIT—Retail,1.6,4,0.463456,1.79,1.77,35.631287,36.033897,18.34,49.983,1.2760338,0.87977,0.33705002,-0.071,0.239,0.045700002,1.6313001,3.71,43.535,0.02207,0.036510002,0.843,0.886
ADCT,ADC Therapeutics SA,Healthcare,Biotechnology,2.5,,0.978773,-2.28,-2.11,,-0.75829387,0.21,0.466,3.4334764,-0.73206,-1.08861,,-0.592,,0.0,,918.018,-0.16032,-1.9821601,4.126,4.686
ADD,"Color Star Technology Co., Ltd.",Communication Services,Entertainment,,,2.121233,-99.27,,,,,4.499,0.28450766,0.0,0.0,,,,0.0,,1.579,-0.75408,-1.25021,0.415,5.363
ADEA,Adeia Inc.,Technology,Software—Application,1.7,4,0.90232,1.02,1.51,9.838235,6.645695,0.5,3.035,3.3064249,0.69219,-0.69858,0.083,-0.153,0.0173,0.19610001,2.95,202.516,0.051570002,0.13303,2.007,2.119
ADER,26 Capital Acquisition Corp.,Financial Services,Shell Companies,,,0.049327,0.09,,125.33333,,,-1.957,,0.0,0.0,,,,0.0,,,-0.041050002,,0.073,0.12
ADERW,26 Capital Acquisition Corp.,,,,,,,,,,,,,,,,,,,,,,,,
ADES,"Advanced Emissions Solutions, I",Industrials,Pollution & Treatment Controls,2.0,5,,-0.66,-0.04,,-65.75001,-0.09,5.919,0.44433182,0.0,0.0,,-0.212,,0.0,,17.723,,,0.071,0.074
ADEX,Adit EdTech Acquisition Corp.,Financial Services,Shell Companies,,,0.018684,0.0,,Infinity,,,-1.487,,0.0,0.0,,,,,,,-0.01349,,0.132,0.145
ADI,"Analog Devices, Inc.",Technology,Semiconductors,2.0,8,1.154139,7.04,10.03,26.507103,18.605185,2.97,71.823,2.598193,0.5255,0.28160998,0.289,0.098,0.0183,0.44599998,1.84,18.691,0.05534,0.099139996,1.056,1.793
ADIL,"Adial Pharmaceuticals, Inc",Healthcare,Biotechnology,2.3,,0.937651,-0.49,-8.37,,-0.67980886,,0.05,113.8,0.0,0.0,,,,0.0,,13.459,-0.9221,-2.09586,1.286,1.649
ADM,Archer-Daniels-Midland Company,Consumer Defensive,Farm Products,2.2,4,0.82196,7.5,6.67,11.525333,12.95952,-20.18,46.528,1.8578061,0.05163,0.04152,-0.22,-0.077,0.021,0.22670001,2.65,38.866,0.043909997,0.16655001,0.411,1.633
ADMA,ADMA Biologics Inc,Healthcare,Biotechnology,1.7,7,0.792171,-0.23,0.08,,51.75,,0.655,6.3206105,-0.0979,-0.26216,,0.956,,0.0,,106.914,-0.048860002,-0.34987,2.606,7.19
ADMP,Adamis Pharmaceuticals Corporat,Healthcare,Drug Manufacturers—Specialty & Generic,3.0,,1.20852,-11.33,-0.08,,-17.0,,-4.071,,0.0,0.0,,0.259,,0.0,,,-0.74364,-7.84964,0.241,0.583
ADN,"Advent Technologies Holdings, I",Utilities,Utilities—Renewable,1.5,,-0.124955,-1.49,-0.09,,-8.577778,,1.054,0.7324478,0.0,0.0,,-0.222,,0.0,,21.484,-0.2598,-0.89566004,1.5,2.616
ADNT,Adient plc,Consumer Cyclical,Auto Parts,2.8,1,2.790786,0.13,3.71,344.6154,12.341598,0.14,23.212,1.9300362,0.05184,0.00751,,0.164,,0.0,,109.795,0.03026,0.08254,0.802,1.184
ADNWW,"Advent Technologies Holdings, I",,,,,,,,,,,,,,,,,,,,,,,,
ADOC,Edoc Acquisition Corp.,Financial Services,Shell Companies,,,0.02743,-2.29,,,,,-1.441,,0.0,0.0,,,,0.0,,,-0.061690003,,0.01,0.02
ADOCR,Edoc Acquisition Corp.,,,,,0.02743,-0.551,,,,,-1.441,,0.0,0.0,,,,,,,-0.061690003,,0.01,0.02
ADOCW,Edoc Acquisition Corp.,,,,,,,,,,,,,,,,,,,,,,,,
ADP,"Automatic Data Processing, Inc.",Industrials,Staffing & Employment Services,3.0,2,0.827502,7.82,10.02,31.757032,24.78443,2.01,8.515,29.165,0.28362,0.18943001,0.262,0.085,0.020299999,0.5834,1.96,100.909,0.04998,1.0133001,0.119,0.986
ADPT,Adaptive Biotechnologies Corpor,Healthcare,Biotechnology,2.1,8,1.178496,-1.37,-1.01,,-6.5841584,-0.25,2.738,2.4287803,-0.87701,-1.00695,,0.121,,0.0,,58.512,-0.14959,-0.41781,4.717,5.001
ADRT,Ault Disruptive Technologies Co,Financial Services,Shell Companies,,,,0.14,,82.5,,,-0.228,,0.0,0.0,,,,0.0,,,-0.00765,,0.001,1.001
ADSE,ADS-TEC ENERGY PLC,Industrials,Electrical Equipment & Parts,3.0,,0.2855,-0.47,-0.54,,-10.99074,,1.652,3.5926151,-1.24635,-0.71532,,0.406,,0.0,,4.306,-0.15667,-0.21285999,1.164,2.484
ADSEW,ADS-TEC ENERGY PLC Warrant,,,,,,,,,,,,,,,,,,,,,,,,
ADSK,"Autodesk, Inc.",Technology,Software—Application,2.1,1,1.517838,3.86,8.37,52.65026,24.280764,1.94,4.192,48.48044,0.21297,0.16418,0.118,0.085,,0.0,,299.22,0.074,1.0620999,0.627,0.722
ADT,ADT Inc.,Industrials,Security & Protection Services,2.5,8,,0.03,0.43,210.33334,15.023809,4.77,3.783,1.6679883,0.0,0.0,,,0.0222,4.6667004,1.86,,,,,
ADTH,"AdTheorent Holding Company, Inc",Communication Services,Advertising Agencies,2.0,8,0.922791,0.72,0.06,2.2777777,27.333334,-1.6,1.838,0.8922742,0.050430004,0.101239994,-0.855,-0.115,,0.0,,4.226,-0.0008,0.108430006,6.705,7.286
ADTHW,,,,,,,,,0.25,,,,,,,,,,,,,,,,
